review,rating,sentiment
horrible customer service february rd friend picked monaco appealing website online package included champagne late checkout free valet gift spa weekend friend checked room hour earlier came later pulled valet young man stood asked valet open said pull bag offer help garment bag suitcase came car key room number say valet car park car street pull left key working asked valet park car get room fine bottle champagne oil lotion gift spa dressed came bed noticed blood drop pillow sheet pillow disgusted unbelievable called desk sent somebody minute later swapped sheet left apologizing sunday morning called desk speak management sheet aggravated rude apparently manager kind supervisor weekend wait monday morning young man spoke said cover food adding person changed sheet said fresh blood rude tone checkout pm package booked staff maid tried walk room opening door apologizing closing people called saying check remind package finally packed thing downstairs check quickly signed paper took way took closer look room unfortunately covered food offered charged valet called desk ask charge lady answered snapped saying aware problem experienced monday told earlier life treated sure constantly problem lucky one recommend anybody know,1,Positive
disappointed say anticipating monaco based review seen tripadvisor definitely disppointment decor room envisioned nice housekeeping staff impressive extremely polite cheery helpful desk bellman standard customer service lot little thing easily overlooked broken mirror sagging post bathroom jiggly entrance handle room feel secure handle nearly falling door husband early morning flight midweek asked cab called suggested cab ride cost double private car flatrate case knew cost cab car bell staff insisted taxi ride cab driver later explained bell staff kick referral preferred guest city andor staff looking best interest new year planned dining restaurant new year came dressed dinner told desk closed holiday asked nearby response good luck finding today good luck thanks help feature needed business centre work downstairs service completely semifuncitional internet service outsourced ended spending money work refund hour vacation troubleshooting internet company toll free service line asked desk time assistance told worst experience asked desk assistance response included shrug say oh bad majority staff attitude simply care needed help dared intrude snotty response occasion caught desk girl smirking thought turned talk frustrating honesty wait check nice decor liked goldfish housekeeping staff great end want dash door way concerned taking greet pretty ignored desk area unless approached street westin saw nothing smiling face coming going,2,Positive
fantastic monaco seattle monaco hold high standard kimpton line kimpton hotel city easily say seattle monaco best seen service attentive prompt based member kimpton loyalty program upgraded floor room great view street excellent public library kittycorner highly recommend tour public library blown away room quite spacious beautiful flatscreen television dvdcd player exercise room pretty standard kimpton size mean adequate outstanding eliptical cardio machine stationary bike personal viewing screen cardio machine screen accept dvd seen kimpton hotel monaco line particular lobby stylish quirky inviting easy imagine spending relaxing comfortable overstuffed chair restaurant attached sazerac good far eaten lunch look forward breakfast tomorrow kimpton property able connect free highspeed internet ethernet second cruising web checking email office problem opinion cannot wrong kimpton seattle monaco certainly excellent choice,5,Positive
good choice recommended sister great location room nice comfortable bed quiet staff helpful recommendation restaurant pike market block walk,5,Positive
hmmmmm say really high hope monaco chose base girlfriend shopping trip seattle say given competition seattle okay lot nice feature little thing detract bedding super soft luxurious comforter pillow mattress rock hard standard bed kept awake night furnishing nice color pattern fun chair rip wall paper peeling room noise fog horn vibrated wall guess water pipe really annoyingon waking morning package decaf instead regular coffee took minute send coffee showed package coffee town usa little package tiny dried creamer supposed coffee service lobby saw cleared really early gone wine reception boy better walk look manager trying scope nd glass food plate goldfish cracker classyfriday restaurant bar closed pm private party planned eat heard fun bar bummer add restall poster say thing comfort felt catered comfortable staff asked said hello looking visit,3,Positive
service service service spent week gfriend labor bumbershoot gray line airporter drop corner person cab total sure flat rate town car location central downtown street w quick walk point tourist business yes space needle bit far monorail westlake center easy walk away tourist underground tour public market space needle emp leave bit room luggage shopping great neighborhood safe clean room mediterranean suite quite large equipped twoperson jacuzzi tub small stand glassenclosed shower room view care room clean small throw blanket adorned foot bed took tastefully decorated wall striped trust feel stale ask gold fish bring wellbehaved dog companyservice aspect excellent desk house keeping concierge room service bell desk ready provide warm professional service test flinchgym open hour newer cardio machine dumbbell highest weight water towel tv gold walking distancegastronomy sazerac worth try impressive amusingthis visit seattle monaco bed westin better prefer monaco afford w gfriends visit want bumbershoot year monaco,5,Positive
excellent delightful surprise monaco thoroughly enjoyed room comfortable lovely amenity friendly staff especially enjoyed hour indulgence definitely,5,Positive
good value downtown monaco seattle great option pricey area town room w street going close monaco unique interesting cozy bedlinens quality aveda product bathroom nice touchyou close downtown quick cab ride away nightlife restaurant loved lola experience quirky luxurious funi definitely,4,Positive
monaco great location service monaco centrally located provides excellent service recently originally checked slight problem informed booked queen bed expedia room king bed fortunately fellow guest checking swapped room future reference booking expedia recommend double checking ensure receive correct room staff stated better book directly match online rate additionally concierge marco helpful sat called salty reservation brunch informed seat available following concierge called restaurant hour wanted dine able book table great window view block away pike market seattle art museum shopping district walking distance space needle experience music project attraction ammenities service provided include pet goldfish wine tasting yoga mat use room seattle recommend taking helicopter tour mt st helen hoffstadt visitor center,5,Positive
great location need internally upgrade advantage north end downtown seattle great restaurant nearby good price room need updated literally thought sleeping bed old pillow sheet net result bad night sleep location staff friendly,2,Positive
mind noise great read review noise used website book room interesting site give checkbox option room farthest elevator room higher floor quiet room getting quietest room possible checked hoping floor floor hall elevator listened truck ambulance siren sheeeesh aside heating unit sound small plane engine hear surrounding roomsif noise sleep facility clean conveniently located reasonably priced staff quite helpful,3,Positive
loved warwick overnight getway enjoy christmas shopping warwick exceeded expectation staff wonderful extrememly friendly room clean service lounge wonderful came contact friendly woman bathroom lever lounge well think haunted totally creepy vibe light anywho really enjoyed going couple day,4,Positive
met expectation centrally located block water popular nightlife shopping option belltown downtown classify property star location paid wedding rate sure fare value proposition room spacious little outdated room decent view lower floor drab panaroma parking lot building adequate fitness center sauna pool basement quaint barrestaurant attached parking outrage possibly standard downtown street parking weekend save dollar willing future price significantly lower nearby fourstar competition,3,Positive
nice husband warwick year ago liked location hesitate book tripwe asked received nonsmoking room king bed high floor hoping nice view space needle checkin nice friendly key minute nice room small loveseat juliet balconylove location block away best restaurant downtown dahlia lounge palace kitchen lola small grocery storeminimart right street wine easy walk pike marketon site nice restaurant lounge area ate breakfast drink loungebar time good servicewe chance use look pool exercise room located basement pool small definitely useable exercise room variety machine weight newest market definitely decent machine kept neat clean exercise room plenty towel water cooler availablei think ran maid day leaving friendlywe used business center couple time consisted computer free internet printer needed ask key desk nice handyoverall thought staff helpful quiet good location definitely met expectation year ago definitely return hope soon,4,Positive
good large newly decorated room good size clean excellent location block centre town block market areahotel resturant bustling alot diner coming street good meal thereoverall highly recommend staying,4,Positive
good choice seattle business booked company overall satisfactory arrived late evening room floor clean comfortable great view bathroom little small clean equipped good sleep enjoyed excellent breakfast restaurant checking staff encountered friendly polite,4,Positive
great location expensive parking warwick heart seattle easy walking distance pike monorail terminal downtown shop twice recently start finish tour pacific north west staff helpful knowledgable room large comfy armchair large bedded room room fridge coffee makerparking site expensive guess reflects city centre parking price free zone travel seattle bus cheap free travel central seattle handy grocery store opposite,4,Positive
noise airconditionera standard arranged travel agency unfortunately warwick seattle dissapointment trip warwick changed room starting minute personnel didnt feel guest intruder reluctant help solve complaint right downtown minute really good restaurant good availability room offered nd floor window directly opening car parking level changed room room loud sound coming air conditioner heating unbelievable personnel told standard noise room tried avoid using order sleep possible watching tv loudly,1,Positive
good location poor cleanliness warwick great location seattle close shopping pike seattle centre really let u cleanliness bed linen torn curtain torn floor stain advertises balcony reality disappointment san diego balcony table chair warwick balcony inchesthe view room view space needle terrific poor cleanliness check staff pleasant unpleasant decided sample restaurant ralph deli street great snack cafethere plenty better hotel seattle slightly money warwick choose eg andra,2,Positive
good spending big buck warwick plenty comfortable nice nice view space needle room expect balcony inch ledge ironwork falling overboard open patio door partially step view lake union elliott bay morning space needle hidden cloud neat sunny weather cloudy needed warwick complaint,4,Positive
nice trip seattle wanted downtown good rate decided warwick clean floor excellent view space needle downtown nice able open sliding door let cool air bed comfy pillow room clean parking problem use parking staff friendly helpful ask key business center computer needless say hassle use computer acquire key restaurant good breakfast walking distance major attraction stated space needle pike market min away walking opted drive therewe pleased,4,Positive
great value seattle spouse warwick seattle day september disappoint reasonably priced downtown area easy walk sightseeing attraction block waterfront free bus seattle figure worked research room king bed spacious nicely appointed comfortable plenty pillow coffee room course great seattle bath finished marble deep tub handheld shower nice touch toiletry average huge consideration complaint concerned desk reservation trip leg olympic penninsula decided cancel second reservation arrived travel desk clerk kept waiting minute hello moved second desk clerk free told reservation attempt look walk stair parking garage confirmation luggage reservation following office tried told staying parking pretty steep option parking seattle scarce shuttle option cab restaurant adequate really great breakfast walk block mayflower park pricey fabulous,4,Positive
gem absolute gem small great service room huge certainly adequate clean comfortable ask room high floor great view downtown space needlebest attentive staff concierge friendly helpful shuttle driver way literally victoria ferry pick convenientwould recommend,5,Positive
pretty good value visit seattle frequently day longer staying night worth especially raised rate lately recommend ramada step away staying longer perfect especially family fancier hotel town warwick satisfy family especially expensive suite swimming pool bit dark balcony acually big step window view location perfect small restaurant overpriced offer better food downtown,4,Positive
average nice amazing location great restaurant gourmet grocery cinerama block radius macy nordstroms shopping block mattress comfy amazing sweeping view space needle lake union downtown elliott bay great pool gym facility room service nothing write home pizza parking yikes old building nicely remodeled,4,Positive
bad choice booked hot wire called immediately requesting nonsmoking room king bed room away elevatoricethe person spoke pleasant stated guarantee request honored note reservation checkin person desk rude said special request noted reservation card andstated king bed way reservation stuck double bed located directly accross elevator ice nonsmoking elevator parking garage warwick mat garage filthy stairwell face smell urine carpet registration elevator area need cleaning upholstery curtain room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously tub drain needsattention shower curtain hole coffee maker room bedding fit bed sleeping directly mattress bedding askew staff unfriendly short housekeeping staff quite pleasant,1,Positive
good value warwick time past year spent march room fine king bed tv pay view movie minifridge missing coffee maker nice marble bathroom hand held shower view east space needle viewed westin tower price right mile aadvantage card fly ointment overnight parking charge definately location great,4,Positive
warwick bad good review warwick shock staff quite rude room fairly dirty cut asked bandaid requested bottle opener better service,2,Negative
great service warwick recently spent day christmas holiday warwick helpfulness care courtesy experienced desk restaurant room service housekeeping staff truly average greatly appreciated restaurant turned fabulous meal certain operating skeleton staff prevents giving excellent rating following tired old dirty carpet bedding expect hostel given price range room face lift necessary,4,Positive
austin power decor familiar seattlewhere sheet different color hairbut okbecause clean second daythe bathroom friend cringeshe asked brought flip flop sanitizer spraythe dirty shag carpet stop wallit crawled inchesi star saw shining worse,2,Negative
great location long needed seattle prior catching early morning amtrak train portland looked train station dropping hertz car hilton downtown wanted spend called seattle based location tourist map near hilton access internet research review location great virtually door high end hotel half price hilton thought try checked asked aaa discount clerk response heard desk clerk knowing aaa room used low budget movie version run threadbare carpet dingy curtain quite hanging right minimal lighting strange hanging light middle room dingy bathroom definitely dingy appear obviously dirty ac luckily need bed particularly comfortable little boucy people definitely gravitated middle clock room wake requestedit ok spending want spend positive great safe location quick taxi ride train station shower great invested low flow shower head water pressure really high really enjoyed conversation desk clerk morning mentioned clerk previous heard aaa told clerk moron owner asked interview say check review trip advisor listed worst hotel seattle ta love type enthusiastic employee worked friend clerk mention nicer room definitely want nice one recommend ask room committing,2,Positive
pay read review booked knew getting mind surprised fact better expected yes room outdated towel floormat limited cable tv overall lack amenity use reviewer said budget overseas similar condition enjoyed experience check desk service great asked extra pillow maid spent flower pike street added character roomlocation friend fairmont street night cost money dinner trip victoria baseball game,3,Positive
bad location unmatchable price range simple sleeping room expect pay x surprisingly cleaner hotel seen past week driving la staying travelodge day inn motel quality furnishing high sure little run spot old building usual character flaw none affected comfort lucky corner room especially nice look w know paying bath worked care watch tv vacation idea worked want believe comment feel free mean room,3,Positive
remarkable needed day booked inn based tripadvisor review great staff professional accomodating town car service available airport immaculate room spacious bathroom great location great price great room facing inner coutyard problem noise room face st noisy location excellent downtown seattlewent attached restaurant bacco breakfast cafe champagne dinner excellent,5,Positive
great location friendly staff easter throughly enjoyed superably located exploring seattle especially market room good sizethe staff friendly helpful reception area welcomingour room exit stairwell hear rumbling assume air conditioning pipe,5,Positive
excellent way inn market memorial weekend room large great view water sure request way advance quiet fully booked crowded service impeccable staff wellmannered friendly cannot fault anythingit great location right pike market near lot great restaurant etta chez shea,5,Positive
amazing location great view fabulous boutique adjacent fish market seattle short heading vancouver island honeymoon loved service great desk pointed great spot sandwich pm sunday easy adorable chocolate covered strawberry room decorated bride groom thoughtful cute touch explore area room clean pretty view watermarket bathroom nicer standard bathroom brunch morning little breakfast tasty hit spot drive ferriesoh cool outdoor patio higher floor offer really incredible viewsa stone throw pike market,4,Positive
outstanding choice reserved city view room week checkin helpful desk staff amy gave complimentary upgrade floor water view access large deck overlook seemingly checkin housekeeping valet service checkout smooth friendly pike market close silly staff great recommendation breakfast dinner trying steer house restaurant say absolutely excellent room clean appointed reason reserve room timealthought fairmont better choice kid,5,Positive
great great good sized clean room helpful staff unbeatable location walk door pike market original starbucks walked underground tour monorail space needle duck tour,5,Positive
expensive biz traveller simple fact location simply unbeatable mere stone throw away pike market plenty great restaurant generally fun area tourist quality soso business traveller bit hard especially returned trip hk conrad hk wynn macau compared inn feel motel issue desk room laptop wireless internet work bed furniture covering worned outdated room city view room room date avoid cost window sits right bus stop claim window double paned hear bus roaring engine sleep ear plug desk ac standalone unit attached wall central standalone unit quite bit noise look cheap tacky business center fax machine located basement price pay paying location staff extremely friendly folk check fried doughnut dhalia lounge,3,Positive
nice lunatic mile flying space day kill seattle early transcon flight nyc original plan needed none prebookedthis recommended block excellent irish pub kells happened ended injust room left taxexcellent friendly staff lovely decor big room used nyc rabbit hutch big spacious view water free wifi need ask reception access code spotless nicely decorated individual usual bland chain hotel sadly prevailthe area felt finein limited safe near bar shop usual stuff drunken noise street eitherit quiet comfortable slept wellnormally add picture review length lack cannot sorry return seattle list hotel use try,5,Positive
okay amazing husband weekend spent trying great seattle read tripadvisor review saw listed tl hotel pretty good bet fantastic great fine really amazing little boutique expected review rating thought room nice incredible service better woman desk friendly thing wrong note visiting seattle try eat canlis incredible meal,3,Positive
boutique charmer great location wife recently spent night inn market attended convention nice small comfortably furnished great location hill pike market walk convention center block east pretty easy steep block adjacent number trendy restaurant walk north ave pioneer square old stone building charming pergola south road course market block west food stand boutique fish flower stall handicraft jewelry table entertainer ethnic dining option spill narrow alley covered arcade pleasure wake morning grab eat nearby watching small truck van unload ware vendor set tablesour room corner overlooking city spacious lot storage space wardrobe large bathroom sink pedestaltype spreading toiletry limited glass shelf nearby small tableshelf unit hear traffic noise street annoying request lowestpriced room city expecting total silence closed door room window seat pillow nice feature make room appear bigger provides additional seating good spot reading peoplewatching decor contemporary beige brown black predominating good weather upstairs terrace nice sit enjoy view bay marketthe modern brick building surround pleasant courtyard splashing fountainsculpture adjacent outdoor seating restaurant lobby open courtyard fireplace stuffed chair registration desk helpful staff operateswe enjoyed nice option want large convention central seattle location aware seattle share street people couple strip club near pike market,5,Positive
loved inn inn market awesome beat location right market room large bed really comfortable room partial view elliot bay miss rooftop deck best view seattle short space needle staff friendly highly recommended staying future,5,Positive
asked better experience perfect townhouse suite night wish month soon walked room opened window million dollar view skyline city pike market literally foot away water mountain distance room level kitchenette living room downstairs bedroom bathroom upstairs bose radio great fact turned television bed really comfortable linen topnotch okay service word fantastic extremely important greeted casual genuine manner enter leave eyecontact sound easy rarity today market matter came greeted smile eye contact really love staff helpful duty ensure taken care knew great place wonderful restaurant dine atsome hotel inn market definitely understands excellent service hospitality small intimate property taken care monstrous kudos staff management making fabulous experience,5,Positive
nice need undating husband inn market celebrate birthday overall wonderful enjoyed twostory suite incredible view market sound quiet location perfect complaint need better job keeping maintainance room major scratch wall stain carpet crack bathroom tile significant sign wear bathroom price expected regard quality upkeep hopefully management pay attention keeping lovely fresh lovely,4,Positive
wonderful location great bed pretty room inn market lived positive review tourist car location better countless excellent restaurant easy walking distance rainy able explore area race warm wet cold socal little tolerance weather staff friendly view deck glorious dark room spacious bed extremely comfortable seattle great fun uncooperative weather,5,Positive
tempurpedic bed minute literally driving past way decided great staff extremely helpful accommodating room really comfortable clean location excellent atmosphere location great choice previously grand hyatt returning room internal facing left bit loud tempurpedic mattress huge bonus fun try way restaurant courtyard desk staff suggested try turned excellent view deck great,5,Positive
loved inn inn market location perfect sightseeing getting seattle car want drive seattle pike market street waterfront step monorail space needle short walk plenty great place eat short walk cab ride service conceirge staff inn terrific helpful recommending arranging sightseeing excursion mt ranier whale watching vineyard tour etc complimentary town car available trip downtown area great help dinner reservation room immaculate twice room service included turn evening fresh towel decor room modern elegant miss roof garden area great view puget sound great unwind end bottle wine definetly return inn,5,Positive
worth money location recently inn market returning best location seattle particularly shopping nice room nicely furnished breath away room view risky go seattle sit room watch world bed tempurpedic incredible count great sleep staff excellent requested room floor terrace met request pleasantly guest advantage terrace nice evening shop pine street purchase nice bottle washington state wine snack head terrace watch ship leave sunset relaxing romantic staff assist wine glass needed,4,Positive
hated inn terrible roomservice horrible staff unwelcoming decor recently updated lack complete look managment staff horrible,1,Negative
loved inn husband wanted romantic away inn perfect met imagined room clean quiet comfortable bath robe nice touch staff helpful location great good restaurant walking distance market right fun visit free bus service close visit site city beware parking valet cost mentioned desk person away cost mentioned web page expected pay removed charge great customer service wonderful deck overlooking puget sound recommend inn planning long visit romantic away,5,Positive
ace husband ace seattle night excited book room style far alley floral bb motel happy impression room decent sized bright corner window pictured website shepard fairey wall asked desk clerk parking state website street parking available tell street parking start charging lot info drug luggage room headed bed thing worse bed size listed website assumed queen bed sized sleeping comfortably little difficult sleep happening room room bar loadingdelivery zone corner bus stop noise staggering continued morning wake early feed meter glowing light hall showing window door annoying saw turned requested fairness rest staff dealt nice accommodating unable following plus shared bathroom issue finding free breakfast include coffee tea fresh waffle toast granola juice yogurt apple pile good magazine available guest robe room use second slept slightly better used earplug acceptable solution wake early deal car moved smaller interior room considerably quieter downed music hear fan hall bathroom room wall definitely felt dorm room sleep better recommend traveling friend plan sleeping loud roommate home drunk play loud music location good walking attraction space needle market good restaurant nearby know,3,Positive
pay location location perfect walking distance lot stair bag problem elevator available clean noisy woodden floor hear room street breakfast included good conclusion good compromise,3,Positive
ace grunge life mold mildew tiny bed metal sink cool extra instead nightsta,1,Positive
ace reasonably priced great location seattle spent night room staff great communal shower immaculate queue breakfast great bit street noise coming floor ear plug room highly recommend bar cyclops,4,Positive
disappointed arranging anticipated girl weekend friend escape child excited sleeping child want enjoy hip place cool design boring runofthe opted ace dig order ensure maximum uninterrupted sleep booked separate room arrival informed mixup online reservation room small queensized bed supposedly deluxe room normally suck accept simple mistake really annoyed irritation partially attributed overall nonchalant attitude ubercool reception person really attempt compensate slightly lower rate room fact checked reservation printed sheet refused let look friend asked wanting crossreference information sheet written reservation strange appeared mistake want admit quick blame online booking inference fault booking online add insult injury told shelling small fortune parking lot street parking reduced rate lot easily marked room dingy charming photo website suggest couple room walking corridor looked lot better room didanyway aside great location decently priced overall experience impressive day later received email thanking staying hope enjoyed responded email outlining frustration accomodation really needed air dissatisfaction manager replied apologetic email offered discount later redeemed st positive response negative experience planned return husband romantic away socalled compensatory offer acknowledged multiple attempt contact manager specific date weekend message nothing return message know happened reply guess need business experience isolated case event planning ace soon,2,Positive
ace awesome seattle ace day loved great location belltown directly opposite macrina bakery quite possibly best breakfastbrunchlunch seattle wtih fabulous baked goodsall staff friendly helpful checkin friendly receptionist forgot ask sorry gave fabulous food recommendation city tried loved foodie extemely important good recommendation localsthe room small totally adequate shared bathroom shower room spotlessly clean enjoyed simplicity little extra touch adjustable lighting music bathroom free current magazine available lobby breakfast granola really yummy toofor location amenity price say ace hard beat,5,Positive
perfect way ace seattle short august perfect thing need none thing great design super comfy great location staff friendly knew cool place helpful way room super stylie great art ammenities really need loved planning sepcial trip portland check ace portland apparently turntable room library vinyl check,5,Positive
interesting comfortable base seattle really enjoyed interesting decor unique touch super clean tidy bathroom shared spacious clean available breakfast adequate fresh simple quite healthy nice change usual cardiac inducing breakfast fare served hotel definitely,4,Positive
great nontraditional true feel seattle actually ace new year eve ago live seattle popped occasion sure route friend people visiting seattle aceit downtown busy street st ave room interior viewbut room funky modern room bath bath robe fun ok shared bath little noise ask room facing street best neighborhood seattle accessible seattle center ton great bar restaurant casual try belltown pizza cyclops surprise great food stiff drink nicer meal try zoe breakfast walk street macrina bakery morning glory rocket muffin food place block ace fish marketpike waterfront downtown shopping couple block ride zone bus want downtownif want standard want experience seattle willing roll punch want little adventure ace fit perfectly cannot beat price downtown seattle,5,Positive
clear internet reservation friday rang hour later add thursday booking thursday rang let know arriving late said problem arrive pm hear oh booking tonight room total apathy concerned say sorrys look reservation book sorrys apathy finally say bb door call authority hang say sorry time incompetence management employee completely soured trip away,1,Negative
single room hospital room single room sparse intentional know ugly trapped hospital white wall sink basin room small rectangle shapethe bed hard rock blanket rough really noisythis overrated fan stype hotel,1,Negative
nice husband crown plaza spring break arrival told given room bed booked king bed matter resolved quickly staff helpful met request room large clean quiet great view location decent overall great experience really complaint said elevator bit slow,4,Positive
seattle crown plaza worth money late pm gave away reservation king sized bed travelbusiness day booked girl reception desk asked bc late blamed shift giving away room pm said nothing proceded offer breakfast change room morning rude good eye contact ask manager manager morning day people helpful pleasant deal accomodations old need lot renovation example wallpaper bathroom peeling king bedroom gave corner room probably inconvenience furniture fit room tv small dresser small tried use safe room broken immediately called desk asked help day later checked addressed good food breakfast buffet healthy good lunch manager trying poorly trained employee clam chowder salmon spinach salad crab cake really good,2,Positive
priority award floor member hilton honor priority award intercontinental chain use hilton property chose pay seattle hiltoni given gold room key checkin room nd floor view quite impressive good experience ended nd floor reserved priority member lounge complimentary appetizer evening room adjacent elevator lounge dinner returned room pmam lounge cleaned staff vacuum going employee chattering making incessant noise cleaning commercial office building regard guest priority club floor management clue lounge cleaned common sensefinally poster indicated right elevator shaft hear waited minute elevator arrive pm taken clue saw earplug sleep kit bed check,2,Positive
great nice room really comfortable clean location pretty good block pike market waterfront definitely seattle,5,Positive
great elevator agree previous post elevator night checked room early given corner club room floor fabulous view elliott bay space needle lake union bed great think slept better week morning club level continental breakfast afternoon snack good ordered room service twice pizza sandwich arrived promptly pizza actually pretty good impressed desk personnel called saw mishap locking room gown putting room service tray housekeeping pick duh hall heard people room knocked let use phone desk security guard showed minute used service elevator apparently freed public elevator complaint business seattle definitely crowne plaza poster plan leave early catch elevator,5,Positive
