author,contributions,rating,date_of_stay,trip_type,title,content,tip,response
Amy G,15,5,March 2025,,Incredible stay at Jaya House,"We travelled for four nights to Jaya House as a family of six (four adults and two teen boys). We have travelled extensively for both work and pleasure and can easily say this was one of the best hotels we have stayed (even better than Four Seasons service). The staff were some of the kindest people we have met and did everything possible to make us comfortable. So much has been mentioned in other reviews but would love to highlight a few things: The pool is refreshing and great for doing laps. Delicious food and drinks available at the onsite restaurant. Loved the personal coffee and drink bar in the lobby with cookie jars filled for snacking. Incredible massages daily with beautiful surroundings. Staff anticipated every need - cool towel when you arrived back, fresh water, personalized tuk tuk service, bug spray. Our teens boys also raved about the staff and kept commenting “everyone is so nice here”. My husband arrived at the hotel quite ill from our time in Thailand and the staff took such good care of him. Making special ginger broth, delivering electrolytes, checking in on him, and ensuring us that healthcare was available if needed. Every company who strives to deliver personalized client experiences should come and stay at Jaya House. It felt genuine in every instant. Thank you for a wonderful introduction to beautiful Cambodia. We hope to return one day soon!",,"Christian de Boer|Owner|Good evening from Siem Reap, It's making me rather happy to know that we have been able to deliver an 'incredible experience' for the 6 of you. We believe that it's always the small details that make any (hotel) experience a good one. Ranking us above one of the global hotel chains in terms of service makes me super happy and proud of the team's daily achievements. (and yes the fresh ginger broth really does do it wonders) Finally, I d like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap and we hope to be able to welcome you back at some point in the not too distant future. For now, safe travels"
Amanda S,3,5,March 2025,,Highly recommended.,"Attention to detail is their strength. Beautiful property, food is fresh and tasty. A wonderful place to unwind and enjoy Cambodia. All the staff are available and willing to do anything to make your stay unforgettable. The flowers throughout are the cherry on top.",,"Christian de Boer|Owner|Good evening from Siem Reap, 'Attention to detail' is what makes any (hotel) experience brilliant is something we believe in. All those small details mixed with the 'no nickel & dime' approach creates the base for an outstanding Cambodia experience. I would also like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap. We would love to be able to welcome you back soonest. But for now, safe travels"
swannythemoose,138,5,February 2025,,Best hotel we stayed at during our trip.,"This was our favourite hotel that we stayed in during our trip. Words cannot adequately describe how brilliant this hotel was. We arrived late in the evening, feeling very tired and there was a glass of wine and a sandwich given to us as they thought we might be hungry. The staff were absolutely brilliant. We had a lovely room and the facilities at the hotel were first class. Transport was complimentary, to take us anywhere we wanted and we were given a phone to use for when we wanted to be picked up. Really sad to leave here, it was amazing.",,"Christian de Boer|Owner|Good evening from Siem Reap, I am so pleased to read we have been 'the best hotel on your trip'. We believe in the fact that the small details make all the difference and it seems you have indeed valued all those small efforts indeed. I hope we will be able to welcome you back at some point in the not too distant future But for now, safe travels"
susanmpassoni,6,5,March 2025,,Wonderful property to escape the hustle and bustle of Siem Reap.,"We stayed at the Jaya House for three nights - it was delightful. A very attentive staff and a lovely hotel layout, making the choice of where to hang challenging. Try the Sky bar for a cocktail or the spa for a fabulous massage. After a long day of cycling and touring the many amazing sights, it’s a great reprieve. The food was also very enjoyable. Would highly recommend!!",,"Christian de Boer|General Manager|Hi Susan, Thank you so much for your wonderful review! We're thrilled to hear that you enjoyed your stay at Jaya House and found it to be a delightful escape from the hustle and bustle of Siem Reap. Our team works hard to provide attentive service, and it's great to know that you appreciated the hotel layout and amenities. We're glad you had the chance to relax at the Sky Bar and indulge in a massage at our spa – it's the perfect way to unwind after a day of exploring! It’s also fantastic to hear that you enjoyed our food offerings. Your recommendation means a lot to us, and we hope to welcome you back for another stay in the future. Warm regards, Christian and The Jaya House team."
Peter M,1,5,March 2025,,Contemporary oasis in the center of Siem Reap,"The Jaya House was one of the best hotel experiences I have ever had. The beautiful, contemporary hotel is a surprisingly private refuge in the center of Siem Reap. The rooms are spacious and well appointed with luxurious baths and an outside patio next to a waterfall. The hotel is impeccably maintained with fresh cut flowers everywhere. The staff is extremely attentive. You never have to open a door, you are greeted with a smile and 'lotus hands' by the staff every time you encounter them, and when you return to the hotel, you are greeted with a wet towel. A barista is staffed to make your coffee (for free) starting at 4am. Looking forward to coming back soon.",,"Christian de Boer|Owner|Good afternoon, Thank you very much for the effort made to wrote down your experience with us. I see that you think 'fresh coffee' is as important as I think it is. I believe that any (good) hotel experience is always based on the small details like indeed that fresh coffee, amazing flowers and fantastic staff. On behalf of all of us here in Siem Reap we do indeed hope we will be able to welcome you back soon for another relaxing & inspiring stay and until then we wish you 'safe travels' Thank you again"
Maxmac,5,5,March 2025,,A real gem,"Stayed this March for 2 nights at this independent luxury boutique hotel in Siem Reap. The perfect base for exploring Angkor Wat and the region. The hotel itself is run independently and offers a level of service unparalleled anywhere I have found for a long while. Literally nothing was too much in terms of service, from the welcome every time we arrived back to the hotel to every departure. The little touches every day demonstrated a real passion to ensure a beautiful stay and every member of staff could not have done more to ensure our comfort. The food was excellent, the spa was excellent. The room was excellent and beautifully designed. A wonderful gem.",,"Christian de Boer|Owner|Good evening from Siem Reap, Thank you for both taking the time to write down your experience with us & choosing Jaya House as your hotel in Siem Reap. I am so happy to read we have been able to deliver service levels you haven't seen for a while. I believe any (hotel) experience is always made better by the small details. Details that actually matter and go beyond the stunning marketing words most (branded) hotels use. I really hope we will be able to Wellcome you back at some point in the not too distant future. But for now, safe travels"
476sheila,3,5,March 2025,,A Tranquil Gem,"The Jaya House is exceptional. The staff could not have been more attentive or concerned for our comfort. Everywhere there is great attention to detail: from the fresh folded flowers to the outstanding culinary choices, luxurious rooms, tranquil gardens and sincere and polite greetings at every turn. A tuk tuk supplied by the hotel is available all day and evening making local excursions a breeze. I would recommend this hotel to anyone planning a visit to Siem Reap and Angkor Wot.",,"Christian de Boer|General Manager|Hi Sheila, Thank you so much for taking the time to share your wonderful experience at the Jaya House. We are thrilled to hear that you found our staff attentive and that you appreciated the little details we pride ourselves on, from the fresh flowers to our culinary offerings. It’s great to know that you enjoyed the luxurious rooms and tranquil gardens, as well as the convenience of our tuk tuk service for your local excursions. Your recommendation means the world to us, and we are delighted to have been a part of your visit to Siem Reap and Angkor Wat. We look forward to welcoming you back for another exceptional stay in the future! Warm regards, Christian and The Jaya House team."
Simon aus Zürich,3,5,March 2025,,Jaya Hotel the starting point to an unforgettable visit to Siem Reap and Angkor Wat.,"Jaya topped our expectations with view to hospitality, courtesy, attendance to personal requirements and preferences from arrival to departure. Arrangements to explore the city of Siem Reap, its hidden spots as well as the visit of Angkor Wat can be entrusted to the competent staff. We highly recommend Tom as a guide for the visit to Angkor Wat. Not only his knowledge about Combodian history and culture but his competence to navigate thru the numerous tempels explaining details and specific aspects to each of them is just great.",,"Christian de Boer|Owner|Good evening from Siem Reap, It's making me rather happy to know that we have been able to 'top your expectations' since thats been our complete goal. We believe that it's always the small details that make any (hotel) experience a good one. I couldn't agree more with your comments about your dude Mr Tom (and some of our other guides) since he is a spectacular human being and indeed actively aims to show our guests the best of the Angkorian Temple complex. Finally, I d like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap and we hope to be able to welcome you back at some point in the not too distant future. For now, safe travels"
Miranda W,3,5,March 2025,,"Paradise, Breathtaking - A Must Stay!","This is by far the nicest hotel I’ve ever stayed at in my life! The rooms were beautiful and spotless, staff were unbelievably kind and generous, and the food was delicious. Tom was my tour guide for Angkor Wat, Ta Prohm, and Bayon Temple and he was fantastic! So knowledgeable and kind and took the best pictures. I hope to come back to beautiful Siem Reap some day and bring my family! Thanks again for everything :)",,"Christian de Boer|General Manager|Hi Miranda, Thank you so much for your wonderful review of Jaya House! We are thrilled to hear that you had such a fantastic experience during your stay with us. Our team strives to provide the best possible service, and it’s rewarding to know that Tom made your tour of Angkor Wat, Ta Prohm, and Bayon Temple memorable. We're glad you enjoyed the beautiful room, our delicious food, and the kindness of our staff. Siem Reap definitely has a magical charm, and we would love to welcome you and your family back for another stay in the future! Thank you once again for your kind words. Safe travels, and we hope to see you soon! Warm regards, Christian and The Jaya House team."
Destination526255,2,5,March 2025,,Experience of a Lifetime,"The Jaya experience is like none other! Such a beautiful setting with the best, warm and attentive service. Terrific food for breakfast and dinner. I felt like we were living in a dream! I can’t recommend this incredible hotel enough. Truly the best pampering hotel experience I have ever had. I love Cambodia and its wonderful people and Jaya shows off the best of that.",,"Christian de Boer|General Manager|Hi Destination526255, Thank you so much for your wonderful review of Jaya House. We're thrilled to hear that your experience at Jaya was such a memorable one. It's fantastic to know that you enjoyed our beautiful setting, attentive service, and delicious meals. We take great pride in showcasing the warmth of Cambodia and its people, and we're glad you felt that during your stay. Your kind words and recommendation mean the world to us! We hope to welcome you back for another dreamlike experience soon. Safe travels! Best regards, Christian and The Jaya House team."
,,5,March 2025,,"One of the best hotel stays, ever!","They have thought of everything. Complimentary laundry service, massages, tuk tuks, mosquito spray when you leave, and hand towels when you arrive. The owner/managing partner has thought of everything and the staff is extremely well trained. Great buffet breakfast as well. I would be happy to recommend it to anyone visiting Siem Reap.",,"Christian de Boer, General Manager|Hi Quest759980, Thank you so much for your kind words! We are thrilled you had one of your best hotel stays with us at Jaya House. Our team works hard to ensure a comfortable and memorable experience for our guests, and it's wonderful to know our efforts made a difference during your visit. We’re glad you enjoyed the complimentary services and our buffet breakfast. Your recommendation means a lot to us, and we look forward to welcoming you back to Siem Reap in the future! Warm regards, Christian and The Jaya House team."
,,5,March 2025,,Sensational luxury hotel experience. Book it now!,"The best hotel I’ve ever stayed in. Everything we needed was taken care of as well as all of the extras, like complimentary ice cream brought out to the pool area, a constant supply of ice water to keep us hydrated. The staff provided us with tuk tuks to wherever we wanted to go and were always waiting with bug spray or a cool towel. The two pool areas are both stunning. We wish we could have stayed longer. 5 stars. Fabulous.",,"Christian de Boer, Owner|Good evening ""Sensational"" - I am so happy you value our 'no nickel & dime' approach to running a hotel. We believe that any (hotel) experience is always based on the small little details that really do make all the difference. The 'we wish we could stay longer' comment we do indeed hear more often. Thru this channel I’d like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap. Perhaps we are able to welcome you back at some point in the not too distant future. For now, safe travels."
,,5,February 2025,,Outstanding Service and Beautiful Property,"The service at this hotel is unmatched, and the owner and staff are extraordinary in their attention to detail and customer focus. The property is conveniently located, and the rooms are well appointed with every modern convenience. The food and spa are excellent too. I could not recommend this place highly enough.",,"Christian de Boer, Owner|Good afternoon and thank you for the effort made to write down your experience with us. ""beautiful property' - it’s making me rather happy to know that you have valued our location and grounds plus the efforts made by the team here in Siem Reap. On behalf of all of us I hope that we will be able to welcome you back at some point in the not too distant future. But for now, safe travels."
,,5,March 2025,,Outstanding,"One of the best hotel experiences anywhere in the world. Gorgeous hotel, fantastic location - and the attention to detail and personal customer service are outstanding. Christian, Chris and their superb team could not have done any more to make our stay so special. Highly recommend.",,"Christian de Boer, Owner|Good afternoon, What a lovely review to wake up to. It's always so rewarding when we have been able to showcase the best of Khmer hospitality mixed with our 'no nickel & dime' approach. I would like to use this opportunity to thank you for taking the time to write down your experience with us and choosing us as your hotel in Siem Reap. We hope to be able to welcome you back at some point in the not too distant future. For now, safe travels."
,,5,March 2025,,Brilliant stay,"Not sure what I could write differently to all the previous reviews as it was a superb stay which everyone seems to experience when they stay at this hotel. Staff totally make the place and a special shout out for Finn at the front desk. The establishment seems to operate to the highest possible standards under impressive leadership. Our room was immaculate and had everything you could need including a free mini bar. We overlooked the smaller of the swimming pools which was ideal for anyone wanting to find a quieter shady spot. We took up the offer of a daily one hour massage, which was complementary and felt totally chilled out by the end of our stay. The hotel also organised a guided tour with a brilliant English speaking guide called Tom. He was so knowledgeable and engaging, and spoke perfect English. We’d highly recommend using Tom as he knew how to find viewpoints and at what timings to visit the temples to avoid the large parties, he really made it an unforgettable experience. Included in that day was a set menu meal at the hotel which was delicious and very high-quality, as was the breakfast every day. The hotel also recommended a couple of excellent restaurants and we particularly liked Jomno. The hotel organises a free tuk tuk service to take you to the restaurants and anywhere else you want to go around town, and also provide a cell phone so that you can just call when you want to be picked up; absolutely brilliant! At the hotel, don’t miss happy hour in the sky bar which was very good. The other point to note is that the hotel offers a free limitless daily laundry service which was so helpful with the sweltering heat at the temples.",,"Christian de Boer, General Manager|Hi Patricia, Thank you so much for your wonderful review of Jaya House! We are thrilled to hear that you had a brilliant stay with us. Your kind words about our staff, especially Finn at the front desk, truly mean a lot to us. We pride ourselves on delivering high standards, and it's fantastic to know that our efforts have not gone unnoticed. We’re glad you enjoyed the room, the peaceful view of the pool, and the complimentary massage. It's great to hear that Tom provided you with such an engaging and informative tour experience, and we appreciate you recommending him to other guests! We’re also pleased to know that you enjoyed our dining options and the complimentary tuk-tuk service. Our team is dedicated to making your stay as comfortable and memorable as possible, and it's rewarding to see that reflected in your experience. Thank you once again for your delightful feedback. We hope to welcome you back to our hotel for another unforgettable stay in the future! Warm regards, Christian and The Jaya House team."
,,5,March 2025,,Jaya House - Siam Reap,What a fantastic experience! The facility and staff were so welcoming and generous. I cannot recommend it enough! The junior suite we stayed in was spacious and very clean. The bed and pillows were some of the best I’ve found anywhere I’ve travelled. Really convenient location in the city but still very quiet. Superb!,,"Christian de Boer, General Manager|Hi Greg, Thank you so much for your wonderful review of Jaya House! We’re thrilled to hear that you had a fantastic experience during your stay. It's great to know that you found our junior suite spacious and clean, and that our bed and pillows met your expectations. We take pride in our welcoming staff and strive to create a comfortable atmosphere for all our guests. It’s also nice to hear that you enjoyed our convenient yet quiet location in the city. We truly appreciate your recommendation and hope to welcome you back soon for another superb stay! Warm regards, Christian and The Jaya House team."
,,5,March 2025,,99% perfect,"Service was perfect, everything from the tuktuk drivers, maids, front desk and servers were absolutely amazing. Pools, bars and easy access to the town made our stay easy and pleasant. They make a real effort to be environmentally conscious so it is easy to rest knowing you are limiting your footprint on the world while traveling; which is very hard to do. Only complaint would be that at one point, when I tried to go to the pool, there were no lounge chairs available. Other than that, perfect.",,"Christian de Boer, General Manager|Hi Aaron, Thank you so much for your wonderful review! We're thrilled to hear that you had such an enjoyable stay at Jaya House and that our team made a positive impact on your experience. It’s great to know that you appreciated our commitment to environmental sustainability as well. We apologize for the inconvenience you faced with the lounge chairs by the pool. We strive to provide ample seating for all our guests, and we appreciate your patience. Your feedback helps us improve, and we will certainly look into this matter. Thanks again for your kind words, and we hope to welcome you back for another perfect stay in the future! Best regards, Christian and The Jaya House team."
,,5,March 2025,,Genuine Care,"Great hotel with very attentive and supportive staff. They are very personable and genuinely caring! The amenities are great and the food was very good! Massages were great, quick laundry services, and good coffee and tea on demand. Free tuktuk rides with helpful drivers who gives recommendations too!",,"Christian de Boer, General Manager|Hi Voyager43544546819, Thank you so much for your wonderful review of Jaya House! We're thrilled to hear that you enjoyed your stay with us and found our staff attentive and caring. It’s great to know that you appreciated the amenities, food, and massage services. We’re also glad you took advantage of the tuk-tuk rides and found our drivers helpful. Your feedback means a lot to us, and we hope to welcome you back for another relaxing stay soon. Warm regards, Christian and The Jaya House team."
,,5,March 2025,,Five plus Stars,"We were greeted by the manager at dinner in a restaurant in Siam Reap far from the hotel he explained his passion to stop using plastic water bottles, making their own botanicals for bug spray to shampoo. Every time we reentered the hotel we were met outside by someone holding a tray of cool towels neatly rolled and smelling of jasmine or similar floral scent. The decor, art and landscaping are all world class stunning and understated. Words are inadequate to explain how kind all the staff is. Money can’t buy the genuine smiles on each of their faces. Everyone was so attentive to anything we might want. We were pampered in a serene oasis that surpasses any luxury hotel we ever stayed in. Don’t hesitate to come to this spectacular small hotel with only 36 rooms.",,"Christian de Boer, General Manager|Hi Robert, Thank you so much for your glowing review! We are thrilled to hear that you had such a memorable experience during your stay with us. It's wonderful to know that our efforts to be more environmentally conscious resonated with you, and we truly appreciate your support for our initiatives. We're delighted that you enjoyed our welcoming gestures, like the cool towels, and that our decor and landscaping left a lasting impression. Our team takes great pride in providing genuine hospitality, and your kind words about their attentiveness and smiles mean the world to us. It’s an honor to be considered a serene oasis for our guests, and we’re so glad you found it surpassing your expectations. We hope to welcome you back to our small slice of paradise soon! Warm regards, Christian and The Jaya House team."
,,5,March 2025,,Five star experience,"We can’t recommend this hotel enough…gracious doesn’t begin to describe the service. Welcoming and responsive staff, hands on management that ensures guests needs are met swiftly and efficiently. Grounds, common areas and rooms are thoughtfully and beautifully designed. Convenient tuktuk service at a moment’s notice and complimentary amenities including massage and room mini bar are a dream come true! The food is fresh and delicious - and they bake all their own bread. Most impressive is this hotel is a social enterprise, training and employing local residents in an elevated five star hotel. We would return again.",,"Christian de Boer, General Manager|Hi Liz, Thank you so much for your wonderful review! We are thrilled to hear that you had a five-star experience at Jaya House. Our team works hard to provide gracious service and ensure that every guest feels welcomed and cared for, so it's rewarding to know that we met your expectations. We're also glad you enjoyed the thoughtfully designed spaces and our convenient tuktuk service. It's fantastic to hear that you appreciated our complimentary amenities, especially the fresh food and homemade bread! Knowing that you recognize and value this aspect of our hotel means a lot to us. We can’t wait to welcome you back for another memorable stay. Thank you for the recommendation! Warm regards, Christian and The Jaya House team."
